#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2021-12-28 00:00:00
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status time-taken
2021-12-28 00:00:00 133.242.13.171 GET / - 80 - 70.34.218.218 Opera/9.80+(Windows+NT+6.1;+U;+pl)+Presto/2.7.62+Version/11.00 200 0 0 748
2021-12-28 00:00:04 133.242.13.171 GET /wwwmap.asp cpd=5&ix=0&iy=0&lb=0&mode=1&size=3&x=2074575&y=-10222183 80 - 185.191.171.35 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 343
2021-12-28 00:00:08 133.242.13.171 GET /wwwmap.asp cpd=3&ix=0&iy=0&lb=0&mode=1&size=3&x=6898575&y=-12652783 80 - 185.191.171.42 Mozilla/5.0+(compatible;+SemrushBot/7~bl;++http://www.semrush.com/bot.html) 200 0 0 358
2021-12-28 00:00:08 133.242.13.171 GET /bunkazai/ X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=fe6aa81b-b4d5-4f2c-b071-619a2fa11b45 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 93
2021-12-28 00:00:08 133.242.13.171 GET /bunkazai/bunkazai.all.css/reset.css X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=ee636970-a6b9-4e98-a3f6-20867f2a4433 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 31
2021-12-28 00:00:08 133.242.13.171 GET /bunkazai/bunkazai.all.css/bunkazai.css X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=f85b4491-ddb1-4fe8-a957-d16c4484f49a 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 218
2021-12-28 00:00:09 133.242.13.171 GET /bunkazai/script.js X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=e3ef1a3c-b3b9-48e2-9c8b-2c7cf040eab5 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 78
2021-12-28 00:00:09 133.242.13.171 GET /bunkazai/image_files/top_mark.png X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=b984a136-1155-4db3-96ca-8686b391d398 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 31
2021-12-28 00:00:09 133.242.13.171 GET /bunkazai/image_files/tizukara2.png X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=5ab730f0-446d-4391-b6e5-87df94317cb4 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 62
2021-12-28 00:00:09 133.242.13.171 GET /bunkazai/image_files/kobe_文化財画像/太山寺本堂2013.JPG X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=32305d19-28d6-4b3b-a045-406af54a7f44 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 421
2021-12-28 00:00:09 133.242.13.171 GET /bunkazai/image_files/kobe_文化財画像/安養院庭園.JPG X-ARR-CACHE-HIT=0&X-ARR-LOG-ID=de5a05ff-3889-41e7-a9c9-a6192860d3cf 80 - 182.166.110.39 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/96.0.4664.110+Safari/537.36 200 0 0 530
