#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2021-06-24 00:00:11
#Fields: date time s-ip cs-method cs-uri-stem cs-uri-query s-port cs-username c-ip cs(User-Agent) sc-status sc-substatus sc-win32-status time-taken
2021-06-24 03:42:40 133.242.13.171 GET /bunkazai/guid.html - 80 - 54.36.149.68 Mozilla/5.0+(compatible;+AhrefsBot/7.0;++http://ahrefs.com/robot/) 200 0 0 296
2021-06-24 04:21:16 133.242.13.171 GET /bunkazai/ - 80 - 125.132.153.101 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/91.0.4472.101+Safari/537.36+OPR/77.0.4054.90 200 0 0 124
2021-06-24 04:21:16 133.242.13.171 GET /bunkazai/css/reset.css - 80 - 125.132.153.101 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/91.0.4472.101+Safari/537.36+OPR/77.0.4054.90 200 0 0 62
2021-06-24 04:21:16 133.242.13.171 GET /bunkazai/css/common.css - 80 - 125.132.153.101 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/91.0.4472.101+Safari/537.36+OPR/77.0.4054.90 200 0 0 62
2021-06-24 04:21:16 133.242.13.171 GET /bunkazai/img/gaido.png - 80 - 125.132.153.101 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/91.0.4472.101+Safari/537.36+OPR/77.0.4054.90 200 0 0 78
2021-06-24 04:21:16 133.242.13.171 GET /bunkazai/img/toiawase.png - 80 - 125.132.153.101 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/91.0.4472.101+Safari/537.36+OPR/77.0.4054.90 200 0 0 62
2021-06-24 04:21:16 133.242.13.171 GET /bunkazai/img/top_name.png - 80 - 125.132.153.101 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/91.0.4472.101+Safari/537.36+OPR/77.0.4054.90 200 0 0 124
2021-06-24 04:21:16 133.242.13.171 GET /bunkazai/img/tizu.png - 80 - 125.132.153.101 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/91.0.4472.101+Safari/537.36+OPR/77.0.4054.90 200 0 0 124
2021-06-24 04:21:16 133.242.13.171 GET /bunkazai/img/tizu_kuwasiku.png - 80 - 125.132.153.101 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/91.0.4472.101+Safari/537.36+OPR/77.0.4054.90 200 0 0 46
2021-06-24 04:21:16 133.242.13.171 GET /bunkazai/img/jyouken.png - 80 - 125.132.153.101 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/91.0.4472.101+Safari/537.36+OPR/77.0.4054.90 200 0 0 140
2021-06-24 04:21:16 133.242.13.171 GET /bunkazai/img/kensaku.png - 80 - 125.132.153.101 Mozilla/5.0+(Windows+NT+10.0;+Win64;+x64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/91.0.4472.101+Safari/537.36+OPR/77.0.4054.90 200 0 0 62
